,Cost
0,2.3023576581779985
5,2.2545362208147384
10,2.208647664633953
15,2.164492013161521
20,2.121925519358405
25,2.0808416651347907
30,2.041158607402701
35,2.002810828395586
40,1.96574357829439
45,1.9299091907226837
50,1.8952646589305677
55,1.8617700596872095
60,1.8293875446119827
65,1.7980807086165962
70,1.7678142066141176
75,1.7385535317578935
80,1.7102648972230912
85,1.682915183053229
90,1.6564719227314846
95,1.6309033129124306
100,1.606178235569587
105,1.5822662856514176
110,1.55913779985968
115,1.536763883819286
120,1.5151164359976363
125,1.4941681674507423
130,1.4738926169513173
135,1.454264161372848
140,1.43525802141635
145,1.4168502629069764
150,1.3990177939779218
155,1.381738358513582
160,1.3649905262525899
165,1.3487536799610649
170,1.3330080000822306
175,1.3177344472543535
180,1.3029147430676602
185,1.2885313494049413
190,1.2745674466817003
195,1.2610069112715339
200,1.2478342923719832
205,1.2350347885362793
210,1.2225942240678342
215,1.2104990254474164
220,1.1987361979380098
225,1.1872933024894978
230,1.1761584330446344
235,1.1653201943292169
240,1.1547676801928979
245,1.1444904525525796
250,1.1344785209776487
255,1.1247223229453331
260,1.1152127047850238
265,1.1059409033223337
270,1.0968985282268773
275,1.088077545062021
280,1.0794702590301368
285,1.0710692994030047
290,1.0628676046238592
295,1.054858408065102
300,1.04703522442374
305,1.0393918367351584
310,1.0319222839847708
315,1.024620849296379
320,1.0174820486756346
325,1.010500620286822
330,1.0036715142411887
335,0.9969898828752177
340,0.9904510714975653
345,0.984050609583789
350,0.9777842023984962
355,0.9716477230251184
360,0.9656372047841195
365,0.959748834021105
370,0.9539789432469711
375,0.9483240046129197
380,0.9427806237038573
385,0.9373455336343934
390,0.932015589432333
395,0.9267877626952404
400,0.921659136506312
405,0.9166269005964365
410,0.911688346739954
415,0.9068408643722282
420,0.9020819364177328
425,0.8974091353179134
430,0.8928201192486314
435,0.8883126285175102
440,0.8838844821320042
445,0.8795335745294789
450,0.8752578724610478
455,0.8710554120213415
460,0.8669242958167866
465,0.8628626902653737
470,0.8588688230212523
475,0.8549409805178525
480,0.8510775056235539
485,0.8472767954042507
490,0.8435372989874554
495,0.8398575155228649
500,0.8362359922345884
505,0.8326713225604836
510,0.8291621443742943
515,0.8257071382865063
520,0.8223050260200563
525,0.8189545688572291
530,0.8156545661542766
535,0.8124038539204675
540,0.8092013034584555
545,0.8060458200630088
550,0.8029363417753073
555,0.7998718381901515
560,0.7968513093135661
565,0.7938737844684174
570,0.790938321245775
575,0.7880440044998783
580,0.7851899453846676
585,0.7823752804299464
590,0.7795991706553437
595,0.7768608007203328
600,0.7741593781086535
605,0.7714941323455682
610,0.7688643142464605
615,0.7662691951953575
620,0.7637080664520316
625,0.7611802384864013
630,0.7586850403390126
635,0.7562218190064477
640,0.7537899388505552
645,0.7513887810304632
650,0.7490177429563702
655,0.7466762377641744
660,0.7443636938100338
665,0.7420795541840012
670,0.7398232762419147
675,0.7375943311547669
680,0.7353922034748072
685,0.7332163907176732
690,0.7310664029598776
695,0.7289417624510041
700,0.7268420032400048
705,0.7247666708150109
710,0.7227153217561028
715,0.7206875234005033
720,0.7186828535196927
725,0.7167009000079558
730,0.7147412605819013
735,0.7128035424905116
740,0.710887362235301
745,0.7089923453001802
750,0.7071181258906404
755,0.7052643466818909
760,0.7034306585755974
765,0.7016167204648863
770,0.6998221990072909
775,0.6980467684053341
780,0.6962901101944522
785,0.6945519130379799
790,0.6928318725289238
795,0.6911296909982706
800,0.6894450773295792
805,0.6877777467796231
810,0.6861274208048541
815,0.6844938268934736
820,0.6828766984028988
825,0.6812757744024287
830,0.6796907995209184
835,0.6781215237992746
840,0.676567702547602
845,0.6750290962068282
850,0.6735054702146491
855,0.6719965948756336
860,0.670502245235347
865,0.669022200958344
870,0.6675562462098964
875,0.6661041695413237
880,0.6646657637788008
885,0.6632408259155208
890,0.6618291570070948
895,0.6604305620700799
900,0.659044849983524
905,0.6576718333934277
910,0.6563113286200198
915,0.6549631555677531
920,0.6536271376379287
925,0.6523031016438584
930,0.6509908777284822
935,0.6496902992843563
940,0.6484012028759364
945,0.6471234281640766
950,0.6458568178326726
955,0.6446012175173801
960,0.6433564757363374
965,0.6421224438228308
970,0.6408989758598359
975,0.6396859286163785
980,0.638483161485653
985,0.6372905364248438
990,0.6361079178965962
995,0.6349351728120831
1000,0.6337721704756171
1005,0.6326187825307616
1010,0.6314748829078908
1015,0.6303403477731558
1020,0.6292150554788127
1025,0.6280988865148691
1030,0.626991723462012
1035,0.6258934509457734
1040,0.6248039555918979
1045,0.6237231259828777
1050,0.6226508526156164
1055,0.6215870278601883
1060,0.6205315459196633
1065,0.6194843027909609
1070,0.6184451962267067
1075,0.6174141256980579
1080,0.616390992358474
1085,0.6153756990084
1090,0.6143681500608382
1095,0.6133682515077832
1100,0.6123759108874911
1105,0.6113910372525647
1110,0.6104135411388253
1115,0.6094433345349534
1120,0.6084803308528721
1125,0.6075244448988556
1130,0.6065755928453397
1135,0.6056336922034169
1140,0.604698661795993
1145,0.6037704217315912
1150,0.6028488933787828
1155,0.6019339993412272
1160,0.6010256634333048
1165,0.6001238106563281
1170,0.5992283671753114
1175,0.5983392602962869
1180,0.5974564184441511
1185,0.5965797711410272
1190,0.5957092489851303
1195,0.5948447836301192
1200,0.5939863077649257
1205,0.5931337550940454
1210,0.5922870603182793
1215,0.5914461591159135
1220,0.5906109881243254
1225,0.5897814849220061
1230,0.588957588010987
1235,0.5881392367996601
1240,0.5873263715859821
1245,0.5865189335410527
1250,0.5857168646930572
1255,0.5849201079115616
1260,0.5841286068921567
1265,0.5833423061414352
1270,0.5825611509623001
1275,0.5817850874395916
1280,0.5810140624260233
1285,0.5802480235284277
1290,0.5794869190942916
1295,0.5787306981985852
1300,0.5779793106308696
1305,0.5772327068826799
1310,0.5764908381351764
1315,0.5757536562470563
1320,0.5750211137427198
1325,0.5742931638006853
1330,0.5735697602422467
1335,0.5728508575203668
1340,0.5721364107088014
1345,0.571426375491449
1350,0.57072070815192
1355,0.5700193655633191
1360,0.5693223051782396
1365,0.5686294850189586
1370,0.5679408636678349
1375,0.5672564002578983
1380,0.5665760544636322
1385,0.5658997864919394
1390,0.5652275570732899
1395,0.5645593274530462
1400,0.5638950593829609
1405,0.5632347151128426
1410,0.5625782573823889
1415,0.5619256494131776
1420,0.5612768549008172
1425,0.5606318380072516
1430,0.5599905633532132
1435,0.5593529960108244
1440,0.5587191014963424
1445,0.5580888457630444
1450,0.5574621951942488
1455,0.5568391165964718
1460,0.556219577192715
1465,0.5556035446158797
1470,0.5549909869023084
1475,0.5543818724854471
1480,0.5537761701896287
1485,0.5531738492239724
1490,0.5525748791763984
